ResourceID,Geometric Place Expression,Archaeological Assessor,GridID,Place Name,Name Type,Archaeological Assessment Date,Heritage Place Function Type,Heritage Place Function Certainty,Heritage Place Function Sub-type,Heritage Place Function Sub-type Certainty,Site Feature Interpretation Type,Site Feature Interpretation Sub-type,Site Feature Interpretation Certainty,Site Feature Interpretation Type,Site Feature Form Type,Site Feature Shape Type,Diameter,Length,Width,Central Mound Diameter,Archaeological Assessment Activity Type,Archaeological Assessment Acitivty Sub-type,Archaeological Assessment Acitivty Sub-type - ORIGINAL,Overall Condition Assessment,Disturbance Cause Category,Disturbance Cause Type,Disturbance Cause Certainty,Damage Effect,Damage Effect Certainty,Threat Driver Type,Threat Type,Threat Driver Certainty,Remarks,Remark Type,Cultural Period Type,Cultural Period Sub-type,30m STRN Elevation,Aimag,Soum,Bag,NCCH_Reg
L5-275,POINT (89.00929426 49.39202163),,L5,L5-275,MAPSS RS Number,2021-11-11,Architectural/Settlement,Definite,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2538,Bayan-Ulgii,Ulaankhus,Sogog,
L5-068,POINT (89.01366465 49.3925945),,L5,L5-068,MAPSS RS Number,2021-11-11,Architectural/Settlement,Definite,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2496,Bayan-Ulgii,Ulaankhus,Sogog,
L5-070,POINT (88.94509432 49.39370866),,L5,L5-070,MAPSS RS Number,2021-11-11,Architectural/Settlement,Definite,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2501,Bayan-Ulgii,Ulaankhus,Sogog,
L5-281,POINT (89.01297666 49.3962216),,L5,L5-281,MAPSS RS Number,2021-11-11,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A0',General Description,,,2479,Bayan-Ulgii,Ulaankhus,Sogog,
L5-279,POINT (88.92400426 49.39739857),,L5,L5-279,MAPSS RS Number,2021-11-11,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A0',General Description,,,2564,Bayan-Ulgii,Bajannuur,Bor burgas,
L5-282,POINT (89.01251135 49.39868292),,L5,L5-282,MAPSS RS Number,2021-11-11,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A0',General Description,,,2470,Bayan-Ulgii,Ulaankhus,Sogog,
L5-073,POINT (88.81650785 49.39990654),,L5,L5-073,MAPSS RS Number,2021-11-11,Architectural/Settlement,Definite,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2553,Bayan-Ulgii,Bajannuur,Bor burgas,
L5-280,POINT (88.96305026 49.40031984),,L5,L5-280,MAPSS RS Number,2021-11-11,Architectural/Settlement,Definite,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2590,Bayan-Ulgii,Ulaankhus,Sogog,
L5-277,POINT (88.90556274 49.40148469),,L5,L5-277,MAPSS RS Number,2021-11-11,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A0',General Description,,,2675,Bayan-Ulgii,Bajannuur,Bor burgas,
L5-276,POINT (88.83396104 49.40262904),,L5,L5-276,MAPSS RS Number,2021-11-11,Architectural/Settlement,Definite,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2698,Bayan-Ulgii,Bajannuur,Bor burgas,
L5-278,POINT (88.91837636 49.4029833),,L5,L5-278,MAPSS RS Number,2021-11-11,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A0',General Description,,,2595,Bayan-Ulgii,Bajannuur,Bor burgas,
M5-001,POINT (89.04728606 48.87337883),,M5,M5-001,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,1969,Bayan-Ulgii,Tsengel,Bor burgas,
M5-002,POINT (89.01768439 48.87316861),,M5,M5-002,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,15,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,1915,Bayan-Ulgii,Tsengel,Bor burgas,
M5-003,POINT (89.01927628 48.87459317),,M5,M5-003,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,11,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Infrastructure and transport,Road/Track,,,,,,1918,Bayan-Ulgii,Tsengel,Bor burgas,
M5-004,POINT (89.03197586 48.87976281),,M5,M5-004,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,1913,Bayan-Ulgii,Tsengel,Bor burgas,
M5-005,POINT (89.03648733 48.88052217),,M5,M5-005,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,1913,Bayan-Ulgii,Tsengel,Bor burgas,
M5-006,POINT (89.03588586 48.88082114),,M5,M5-006,MAPSS RS Number,2022-01-17,Funerary,Definite,Burial,Definite,Khirigsuur,Circle Khirigsuur,Definite,,,,14,,,6,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,Bronze Age,,1907,Bayan-Ulgii,Tsengel,Bor burgas,
M5-007,POINT (89.03889383 48.88006875),,M5,M5-007,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,11,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,1911,Bayan-Ulgii,Tsengel,Bor burgas,
M5-008,POINT (89.03793628 48.87948314),,M5,M5-008,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,15,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,1907,Bayan-Ulgii,Tsengel,Bor burgas,
M5-009,POINT (89.04246136 48.88043097),,M5,M5-009,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,1914,Bayan-Ulgii,Tsengel,Bor burgas,
M5-010,POINT (89.0424285 48.88048875),,M5,M5-010,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,1914,Bayan-Ulgii,Tsengel,Bor burgas,
M5-011,POINT (89.04278456 48.88062675),,M5,M5-011,MAPSS RS Number,2022-01-17,Funerary,Medium,Burial,Medium,,,,,Low Mound/Paved Surface,,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,1913,Bayan-Ulgii,Tsengel,Bor burgas,
M5-012,POINT (89.05005061 48.88246756),,M5,M5-012,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1917,Bayan-Ulgii,Tsengel,Bor burgas,
M5-013,POINT (89.05073592 48.88272242),,M5,M5-013,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1921,Bayan-Ulgii,Tsengel,Bor burgas,
M5-014,POINT (89.05156147 48.88307917),,M5,M5-014,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1926,Bayan-Ulgii,Tsengel,Bor burgas,
M5-015,POINT (89.071243 48.88980272),,M5,M5-015,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1914,Bayan-Ulgii,Tsengel,Sumyn tov,
M5-016,POINT (89.07024253 48.89082825),,M5,M5-016,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1927,Bayan-Ulgii,Tsengel,Sumyn tov,
M5-017,POINT (88.86887061 48.87524444),,M5,M5-017,MAPSS RS Number,2022-01-17,Funerary,Definite,Burial,Definite,Khirigsuur,Circle Khirigsuur,Definite,,,,16,,,7,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,,,,,,Bronze Age,,2132,Bayan-Ulgii,Tsengel,Cagaan tunge,
M5-018,POINT (88.86854472 48.87549319),,M5,M5-018,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,,,,,,,,2131,Bayan-Ulgii,Tsengel,Cagaan tunge,
M5-019,POINT (88.86944731 48.87530619),,M5,M5-019,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,,,,,,,,2129,Bayan-Ulgii,Tsengel,Cagaan tunge,
M5-020,POINT (88.86945131 48.87505481),,M5,M5-020,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,Khirigsuur,Circle Khirigsuur,High,,,,13,,,5,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,,,,,,Bronze Age,,2130,Bayan-Ulgii,Tsengel,Cagaan tunge,
M5-021,POINT (88.86775683 48.87547289),,M5,M5-021,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,,,,,,,,2134,Bayan-Ulgii,Tsengel,Cagaan tunge,
M5-022,POINT (88.87111225 48.87759006),,M5,M5-022,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,12,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,,,,,,,,2136,Bayan-Ulgii,Tsengel,Cagaan tunge,
M5-023,POINT (88.87143142 48.87800811),,M5,M5-023,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2140,Bayan-Ulgii,Tsengel,Cagaan tunge,
M5-024,POINT (88.88457578 48.87767611),,M5,M5-024,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Low Mound/Paved Surface,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2131,Bayan-Ulgii,Tsengel,Cagaan tunge,
M5-025,POINT (88.88709569 48.87746886),,M5,M5-025,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,Khirigsuur,Circle Khirigsuur,High,,,,17,,,8,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,Bronze Age,,2124,Bayan-Ulgii,Tsengel,Cagaan tunge,
M5-026,POINT (88.88678572 48.87691436),,M5,M5-026,MAPSS RS Number,2022-01-17,Funerary,Medium,Burial,Medium,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,,,,,,,,2123,Bayan-Ulgii,Tsengel,Cagaan tunge,
M5-027,POINT (88.89023631 48.90044444),,M5,M5-027,MAPSS RS Number,2022-01-17,Funerary,Definite,Burial,Definite,Khirigsuur,Circle Khirigsuur,Definite,,,,19,,,8,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,Bronze Age,,2180,Bayan-Ulgii,Tsengel,Cagaan tunge,
M5-028,POINT (89.02780508 49.04735086),,M5,M5-028,MAPSS RS Number,2022-01-17,Funerary,Definite,Burial,Definite,Khirigsuur,Circle Khirigsuur,Definite,,,,17,,,6,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,Bronze Age,,1886,Bayan-Ulgii,Tsengel,Sar gov,
M5-029,POINT (89.03110153 49.04762817),,M5,M5-029,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1893,Bayan-Ulgii,Tsengel,Sar gov,
M5-030,POINT (89.03225086 49.05008669),,M5,M5-030,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,Khirigsuur,Circle Khirigsuur,High,,,,15,,,8,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,Bronze Age,,1915,Bayan-Ulgii,Tsengel,Sar gov,
M5-031,POINT (89.02874656 49.05494444),,M5,M5-031,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,12,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1943,Bayan-Ulgii,Tsengel,Sar gov,
M5-032,POINT (89.03755206 49.05019511),,M5,M5-032,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1920,Bayan-Ulgii,Tsengel,Sar gov,
M5-033,POINT (89.04572306 49.04536761),,M5,M5-033,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1903,Bayan-Ulgii,Tsengel,Sar gov,
M5-034,POINT (89.05087919 49.04313917),,M5,M5-034,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1908,Bayan-Ulgii,Tsengel,Sar gov,
M5-035,POINT (89.06968172 49.03356092),,M5,M5-035,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,Khirigsuur,Circle Khirigsuur,High,,,,20,,,7,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,Bronze Age,,1889,Bayan-Ulgii,Tsengel,Sar gov,
M5-036,POINT (89.03232122 49.05041331),,M5,M5-036,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1918,Bayan-Ulgii,Tsengel,Sar gov,
M5-037,POINT (89.03234669 49.05054294),,M5,M5-037,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1920,Bayan-Ulgii,Tsengel,Sar gov,
M5-038,POINT (89.03099756 49.05168161),,M5,M5-038,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1927,Bayan-Ulgii,Tsengel,Sar gov,
M5-039,POINT (89.03167347 49.05250297),,M5,M5-039,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1936,Bayan-Ulgii,Tsengel,Sar gov,
M5-040,POINT (89.03071056 49.05272975),,M5,M5-040,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Low Mound/Paved Surface,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1939,Bayan-Ulgii,Tsengel,Sar gov,
M5-041,POINT (89.03011847 49.05274819),,M5,M5-041,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1937,Bayan-Ulgii,Tsengel,Sar gov,
M5-042,POINT (89.03091642 49.05324742),,M5,M5-042,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1945,Bayan-Ulgii,Tsengel,Sar gov,
M5-043,POINT (89.03166878 49.05362667),,M5,M5-043,MAPSS RS Number,2022-01-17,Funerary,Definite,Burial,Definite,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1952,Bayan-Ulgii,Tsengel,Sar gov,
M5-044,POINT (89.03224947 49.05391494),,M5,M5-044,MAPSS RS Number,2022-01-17,Funerary,Definite,Burial,Definite,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1957,Bayan-Ulgii,Tsengel,Sar gov,
M5-045,POINT (89.03159503 49.05389603),,M5,M5-045,MAPSS RS Number,2022-01-17,Funerary,Definite,Burial,Definite,Khirigsuur,Square/Rectangle Khirigsuur,Definite,,,,,11,10,8,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,Bronze Age,,1954,Bayan-Ulgii,Tsengel,Sar gov,
M5-046,POINT (89.03151858 49.05414214),,M5,M5-046,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1955,Bayan-Ulgii,Tsengel,Sar gov,
M5-047,POINT (89.03097678 49.05397119),,M5,M5-047,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1952,Bayan-Ulgii,Tsengel,Sar gov,
M5-048,POINT (89.03205703 49.05448139),,M5,M5-048,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1961,Bayan-Ulgii,Tsengel,Sar gov,
M5-049,POINT (89.03171772 49.05464572),,M5,M5-049,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1964,Bayan-Ulgii,Tsengel,Sar gov,
M5-050,POINT (89.03253111 49.05472789),,M5,M5-050,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1966,Bayan-Ulgii,Tsengel,Sar gov,
M5-051,POINT (89.03229908 49.05485931),,M5,M5-051,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Low Mound/Paved Surface,,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1965,Bayan-Ulgii,Tsengel,Sar gov,
M5-052,POINT (89.03269672 49.05512822),,M5,M5-052,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Low Mound/Paved Surface,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1972,Bayan-Ulgii,Tsengel,Sar gov,
M5-053,POINT (89.0330575 49.05537431),,M5,M5-053,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1977,Bayan-Ulgii,Tsengel,Sar gov,
M5-054,POINT (89.03388228 49.05596533),,M5,M5-054,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1987,Bayan-Ulgii,Tsengel,Sar gov,
M5-055,POINT (89.03413239 49.05596403),,M5,M5-055,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1988,Bayan-Ulgii,Tsengel,Sar gov,
M5-056,POINT (89.03431344 49.05636611),,M5,M5-056,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1998,Bayan-Ulgii,Tsengel,Sar gov,
M5-057,POINT (89.0316995 49.05543853),,M5,M5-057,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1972,Bayan-Ulgii,Tsengel,Sar gov,
M5-058,POINT (89.02968317 49.05463522),,M5,M5-058,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,Khirigsuur,Square/Rectangle Khirigsuur,High,,,,,13,12,8,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,Bronze Age,,1950,Bayan-Ulgii,Tsengel,Sar gov,
M5-059,POINT (89.03341544 49.05363944),,M5,M5-059,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1955,Bayan-Ulgii,Tsengel,Sar gov,
M5-060,POINT (89.03421006 49.05370625),,M5,M5-060,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1958,Bayan-Ulgii,Tsengel,Sar gov,
M5-061,POINT (89.03182692 49.05311606),,M5,M5-061,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,Khirigsuur,Circle Khirigsuur,High,,,,11,,,7,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,Bronze Age,,1945,Bayan-Ulgii,Tsengel,Sar gov,
M5-062,POINT (89.03140917 49.0533415),,M5,M5-062,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Poor,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1948,Bayan-Ulgii,Tsengel,Sar gov,
M5-063,POINT (89.03001708 49.05405208),,M5,M5-063,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1949,Bayan-Ulgii,Tsengel,Sar gov,
M5-064,POINT (89.02932039 49.05445725),,M5,M5-064,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1946,Bayan-Ulgii,Tsengel,Sar gov,
M5-065,POINT (89.03027661 49.05489844),,M5,M5-065,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Low Mound/Paved Surface,,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1955,Bayan-Ulgii,Tsengel,Sar gov,
M5-066,POINT (89.029128 49.05152667),,M5,M5-066,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Low Mound/Paved Surface,,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1922,Bayan-Ulgii,Tsengel,Sar gov,
M5-067,POINT (89.02927953 49.05165894),,M5,M5-067,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Low Mound/Paved Surface,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1924,Bayan-Ulgii,Tsengel,Sar gov,
M5-068,POINT (89.02901803 49.05169717),,M5,M5-068,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Low Mound/Paved Surface,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1923,Bayan-Ulgii,Tsengel,Sar gov,
M5-069,POINT (89.02888258 49.05135175),,M5,M5-069,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Low Mound/Paved Surface,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1921,Bayan-Ulgii,Tsengel,Sar gov,
M5-070,POINT (89.02831261 49.05090878),,M5,M5-070,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Low Mound/Paved Surface,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1913,Bayan-Ulgii,Tsengel,Sar gov,
M5-071,POINT (89.02756761 49.05124233),,M5,M5-071,MAPSS RS Number,2022-01-17,Funerary,High,Burial,High,,,,,Low Mound/Paved Surface,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,1914,Bayan-Ulgii,Tsengel,Sar gov,
