ResourceID;Geometric Place Expression;Grid ID;Remote Sensing Object Name;Assessment Date;Remote Sensing Place Type;Remote Sensing Assessor;Name Type;Archaeological Assessment Activity Type;Heritage Place Function Sub-Type;Heritage Place Function Certainty;Remote Sensing Interpretation Type;Overall Archaeological Certainty;Heritage Feature Measurement Number;Heritage Feature Measurement Unit Type;Heritage Feature Dimension Type;Heritage Feature Measurement Source Type;Assessment Source;Overall Condition Assessment;Disturbance Type;Threat Driver Type;Threat Type;;Remark;Cultural Period Type;Elevation;Province;District;Sub-district;External Dataset Heritage Resource;;;
1741;POINT (89.35253174 49.1571943);L6;L6-022;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Circle Khirigsuur;high;13;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;Bronze Age;1843;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1742;POINT (89.35297833 49.15708335);L6;L6-023;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;8;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1845;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1743;POINT (89.35223354 49.15319228);L6;L6-024;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Circle Khirigsuur;high;12;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;Bronze Age;1815;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1744;POINT (89.35091938 49.15377311);L6;L6-025;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Circle Khirigsuur;high;12;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;Bronze Age;1816;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1745;POINT (89.35287566 49.1493733);L6;L6-026;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Circle Khirigsuur;high;15;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;Bronze Age;1799;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1746;POINT (89.35212519 49.15911696);L6;L6-027;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Circle Khirigsuur;high;12;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;Bronze Age;1858;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1747;POINT (89.348003 49.15067067);L6;L6-028;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Circle Khirigsuur;high;21;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;Building and Development;Road/Track;; endangered by the roads going very close to the burial;Bronze Age;1797;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1748;POINT (89.34920727 49.15294128);L6;L6-029;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;9;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;; could be also a bad preserved Khirigsuur;;1808;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1749;POINT (89.34869052 49.15376462);L6;L6-030;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;9;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;; could be also a bad preserved Khirigsuur;;1812;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1750;POINT (89.35005609 49.15433727);L6;L6-031;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;6;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;; could be also a bad preserved Khirigsuur;;1818;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1751;POINT (89.34979141 49.15440031);L6;L6-032;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;9;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;; could be also a bad preserved Khirigsuur;;1818;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1752;POINT (89.34931521 49.15469121);L6;L6-033;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;9;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;; could be also a bad preserved Khirigsuur;;1819;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1753;POINT (89.34948208 49.15490103);L6;L6-034;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;4;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;; could be also a bad preserved Khirigsuur;;1821;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1754;POINT (89.35025889 49.15438101);L6;L6-035;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;4;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;; could be also a bad preserved Khirigsuur;;1818;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1755;POINT (89.35070256 49.15478421);L6;L6-036;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;4;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;; could be also a bad preserved Khirigsuur;;1821;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1756;POINT (89.35163364 49.15591975);L6;L6-037;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;6;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;; could be also a bad preserved Khirigsuur;;1829;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1757;POINT (89.3509645 49.15646874);L6;L6-038;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;4;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1829;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1758;POINT (89.35137143 49.15683766);L6;L6-039;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;4;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1838;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1759;POINT (89.3531419 49.15762567);L6;L6-040;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;4;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1847;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1760;POINT (89.35255419 49.15754888);L6;L6-041;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;7;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;;" it could be also a part of a bad preserved Khirigsuur; probably two satellite mounds are present";;1846;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1761;POINT (89.35232223 49.15743467);L6;L6-042;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;5;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1845;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1762;POINT (89.35143232 49.15720107);L6;L6-043;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;6;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1840;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1763;POINT (89.34993562 49.1570241);L6;L6-044;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;7;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;;" it could be also a part of the bad preserved Khirigsuur; probably one satelite mound is visualy present";;1832;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1764;POINT (89.34840352 49.15610558);L6;L6-045;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;5;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1822;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1765;POINT (89.35173672 49.15785155);L6;L6-046;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;5;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1846;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1766;POINT (89.35269751 49.15871727);L6;L6-047;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;7;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1855;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1767;POINT (89.35032589 49.15932359);L6;L6-048;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;7;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1851;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1768;POINT (89.35178262 49.15945894);L6;L6-049;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;4;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1857;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1769;POINT (89.35255719 49.15954957);L6;L6-050;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;7;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1861;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1770;POINT (89.35288916 49.1584386);L6;L6-051;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;7;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1852;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1771;POINT (89.3381602 49.16048136);L6;L6-052;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;9;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1821;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1772;POINT (89.35282819 49.16125741);L6;L6-053;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;15;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1875;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1773;POINT (89.35270266 49.16206935);L6;L6-054;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;9;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1878;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1774;POINT (89.35203347 49.15825793);L6;L6-055;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;4;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1850;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1775;POINT (89.35238867 49.15654159);L6;L6-056;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;4;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1837;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1776;POINT (89.34571257 49.15316043);L6;L6-057;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;6;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;; could be also a part of the bad preserved Khirigsuur;;1803;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1777;POINT (89.3391466 49.15507457);L6;L6-058;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;medium;6;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;unknown;;;;; could be also a part of the bad preserved Khirigsuur;;1802;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1778;POINT (89.34407243 49.15648608);L6;L6-059;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;medium;6;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1814;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1779;POINT (89.34818434 49.16599215);L6;L6-060;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Circle Khirigsuur;high;16;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;" the type is not quite sure; could be also just a mound";Bronze Age;1877;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1780;POINT (89.3469257 49.1668016);L6;L6-061;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Circle Khirigsuur;high;20;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;Bronze Age;1881;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1781;POINT (89.34480951 49.16601615);L6;L6-062;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Circle Khirigsuur;high;17;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;Bronze Age;1874;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1782;POINT (89.34611703 49.16694051);L6;L6-063;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;9;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1884;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1783;POINT (89.34667053 49.1681639);L6;L6-064;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;13;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1896;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1784;POINT (89.34565029 49.16798152);L6;L6-065;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Square/Rectangle Khirigsuur;high;;;;;;;;;;; the type is not quite sure;Bronze Age;1893;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1785;POINT (89.34575677 49.16779522);L6;L6-066;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;6;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1889;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1786;POINT (89.34401545 49.1683757);L6;L6-067;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;8;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1891;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1787;POINT (89.34486219 49.16952235);L6;L6-068;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;8;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1906;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1788;POINT (89.34675097 49.17007063);L6;L6-069;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Square/Rectangle Khirigsuur;high;;;;;;;;;;; the type is not quite sure;Bronze Age;1917;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1789;POINT (89.34646376 49.16901638);L6;L6-070;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;5;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1905;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1790;POINT (89.34604009 49.16912744);L6;L6-071;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;medium;5;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1908;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1791;POINT (89.34798259 49.1677592);L6;L6-072;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;8;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1896;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1792;POINT (89.34551602 49.16931629);L6;L6-073;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;10;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1909;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1793;POINT (89.34018809 49.17163192);L6;L6-074;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;9;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1897;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1794;POINT (89.33201288 49.17131641);L6;L6-075;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Circle Khirigsuur;high;14;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;" the type is not quite sure; could be also a simple mound";Bronze Age;1846;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1795;POINT (89.33687106 49.17047297);L6;L6-076;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;medium;9;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1871;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1796;POINT (89.34008833 49.16821218);L6;L6-077;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;9;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1876;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1797;POINT (89.35255052 49.16247878);L6;L6-078;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;medium;8;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1875;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1798;POINT (89.33437887 49.16904435);L6;L6-079;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;13;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1855;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1799;POINT (89.35291521 49.17928917);L6;L6-080;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Winter Camp;;;;;;;;;;;;A1;;2055;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1800;POINT (89.3335491 49.1774387);L6;L6-081;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;6;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;Environmental (Natural);Water Action;;endangered by the fluviatil erosion channels;;1906;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1801;POINT (89.33486801 49.17779425);L6;L6-082;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;6;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;Environmental (Natural);Water Action;;endangered by the fluviatil erosion channels;;1914;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1802;POINT (89.33418482 49.17864925);L6;L6-083;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Circle Khirigsuur;high;13;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;Environmental (Natural);Water Action;;endangered by the fluviatil erosion channels;Bronze Age;1925;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1803;POINT (89.3342276 49.17720596);L6;L6-084;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;7;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;Environmental (Natural);Water Action;;endangered by the fluviatil erosion channels;;1904;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1804;POINT (89.3264874 49.18046652);L6;L6-085;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Funerary;;Mound;high;5;Metres (m);Diameter;Satellite Imagery (Mosaic/Virtual Globe);;;;;;;;;1897;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1805;POINT (89.32667854 49.15884095);L6;L6-086;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A2;;1799;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1806;POINT (89.33337857 49.15058527);L6;L6-087;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A2;;1793;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1807;POINT (89.33730784 49.1451732);L6;L6-088;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A2;;1789;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1808;POINT (89.34618955 49.1415153);L6;L6-089;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A2;;1791;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1809;POINT (89.34177953 49.13754529);L6;L6-090;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1788;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1810;POINT (89.32537249 49.13892154);L6;L6-091;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1793;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1811;POINT (89.32286905 49.13905883);L6;L6-092;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1795;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1812;POINT (89.3249551 49.1952876);L6;L6-093;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Winter Camp;;;;;;;;;;;;A1;;2143;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1813;POINT (89.3510316 49.20198924);L6;L6-094;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Winter Camp;;;;;;;;;;;;A1;;2343;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1814;POINT (89.34265557 49.22143388);L6;L6-095;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Winter Camp;;;;;;;;;;;;A1;;2541;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1815;POINT (89.33247589 49.22189365);L6;L6-096;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Winter Camp;;;;;;;;;;;;A1;;2515;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1816;POINT (89.32497832 49.25665358);L6;L6-097;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Winter Camp;;;;;;;;;;;;"A1; the type of the camp is not sure";;2545;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1817;POINT (89.33033368 49.38054003);L6;L6-098;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;2741;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1818;POINT (89.335421 49.37913918);L6;L6-099;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A0;;2765;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1819;POINT (89.28649656 49.14324391);L6;L6-100;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1801;Bayan-Ulgii;Ulaankhus;X�x x�t�l;;;;
1820;POINT (89.28538331 49.14573956);L6;L6-101;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1804;Bayan-Ulgii;Ulaankhus;X�x x�t�l;;;;
1821;POINT (89.28420847 49.14621194);L6;L6-102;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1805;Bayan-Ulgii;Ulaankhus;X�x x�t�l;;;;
1822;POINT (89.28192606 49.14741098);L6;L6-103;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1804;Bayan-Ulgii;Ulaankhus;X�x x�t�l;;;;
1823;POINT (89.27894954 49.14821533);L6;L6-104;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1806;Bayan-Ulgii;Ulaankhus;X�x x�t�l;;;;
1824;POINT (89.27959428 49.15253124);L6;L6-105;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1807;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1825;POINT (89.28343688 49.15194827);L6;L6-106;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1806;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1826;POINT (89.29076318 49.14916008);L6;L6-107;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1801;Bayan-Ulgii;Ulaankhus;Sogog;;;;
1827;POINT (89.27986005 49.14266664);L6;L6-108;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1802;Bayan-Ulgii;Ulaankhus;X�x x�t�l;;;;
1828;POINT (89.27302855 49.1393762);L6;L6-109;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;"A1; at least 7 units";;1804;Bayan-Ulgii;Ulaankhus;X�x x�t�l;;;;
1829;POINT (89.26977795 49.13947405);L6;L6-110;2021-11-11;;;MAPSS RS Number;Archaeological Assessment (Image Interpretation);Settlement/Habitation;;Summer Camp;;;;;;;;;;;;A1;;1805;Bayan-Ulgii;Ulaankhus;X�x x�t�l;;;;
