ResourceID,Geometric Place Expression,Remote Sensing Assessor,Grid Square,Remote Sensing Object Name,Name Type,Remote Sensing Place Type,Assessment Date,Heritage Place Function Certainty,Heritage Place Function Sub-type,Remote Sensing Interpretation Type,Remote Sensing Interpretation Sub-type,Site Feature Interpretation Certainty,Site Feature Form Type,Site Feature Shape Type,Diameter,Length,Width,Central Mound Diameter,Archaeological Assessment Activity Type,Assessment Source,Overall Condition Assessment,Disturbance Cause Category,Disturbance Cause Type,Disturbance Cause Certainty,Damage Effect,Damage Effect Certainty,Threat Driver Type,Threat Type,Threat Probability,Remark,Remark Type,Cultural Period Type,30m SRTN Elevation,Aimag,Soum,Bag,Heritage Place Function Type
M13-112,POINT (91.22310022 48.89654198),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-112,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Infrastructure/Transport,Road/Track,High,,,,1321,Khovd,,,Funerary
M13-113,POINT (91.2230392 48.89662838),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-113,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Infrastructure/Transport,Road/Track,High,,,,1321,Khovd,,,Funerary
M13-114,POINT (91.22249337 48.89671522),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-114,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,12,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Infrastructure/Transport,Road/Track,High,,,,1321,Khovd,,,Funerary
M13-115,POINT (91.22291448 48.89662353),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-115,MAPSS RS Number,Site Feature,2022-05-02,Medium,Settlement/Habitation,,,High,Mound,Oval,,28,11,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Infrastructure/Transport,Road/Track,High,"""Stretched oval. SSW-NNE, slightly tapered to the north, up to know an unknown feature and type""",General Description,,1321,Khovd,,,Funerary
M13-116,POINT (91.22673863 48.92762635),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-116,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1322,Khovd,,,Architectural/Settlement
M13-117,POINT (91.21536751 48.89947632),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-117,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1329,Khovd,,,Funerary
M13-118,POINT (91.21596832 48.89930749),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-118,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1327,Khovd,,,Funerary
M13-119,POINT (91.21547287 48.89754651),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-119,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,10,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,Looting/Illegal Activities,Looting/Unauthorised Removal of Objects,Medium,Loss/Removal of Archaeological Material,Medium,,,,,,,1375,Khovd,,,Funerary
M13-120,POINT (91.21485194 48.89766421),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-120,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1376,Khovd,,,Funerary
M13-121,POINT (91.21515838 48.8978617),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-121,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1379,Khovd,,,Funerary
M13-122,POINT (91.21506652 48.89798469),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-122,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1381,Khovd,,,Funerary
M13-123,POINT (91.21623636 48.89796373),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-123,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,4,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1356,Khovd,,,Funerary
M13-124,POINT (91.21626586 48.89807394),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-124,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1348,Khovd,,,Funerary
M13-125,POINT (91.2163926 48.89813742),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-125,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Khirigsuur,Circle Khirigsuur,Medium,,Circular,8,,,5,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,Bronze Age,1348,Khovd,,,Funerary
M13-126,POINT (91.21628464 48.89822514),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-126,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1343,Khovd,,,Funerary
M13-127,POINT (91.21625916 48.89831463),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-127,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1343,Khovd,,,Funerary
M13-128,POINT (91.21615589 48.89852158),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-128,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1343,Khovd,,,Funerary
M13-129,POINT (91.21680566 48.89854054),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-129,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1331,Khovd,,,Funerary
M13-130,POINT (91.21583604 48.89865294),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-130,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1348,Khovd,,,Funerary
M13-131,POINT (91.21395868 48.89883738),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-131,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,10,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1348,Khovd,,,Funerary
M13-132,POINT (91.21345925 48.89793072),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-132,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1353,Khovd,,,Funerary
M13-133,POINT (91.21625977 48.89775109),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-133,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,3,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1352,Khovd,,,Funerary
M13-134,POINT (91.21620747 48.8976497),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-134,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1362,Khovd,,,Funerary
M13-135,POINT (91.21663528 48.89778768),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-135,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,3,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1346,Khovd,,,Funerary
M13-136,POINT (91.21620681 48.89711913),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-136,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1364,Khovd,,,Funerary
M13-137,POINT (91.21574481 48.89639658),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-137,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1374,Khovd,,,Funerary
M13-138,POINT (91.21624425 48.89661152),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-138,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,,1368,Khovd,,,Funerary
M13-139,POINT (91.21820428 48.89434492),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-139,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,12,,,,Archaeological Assessment (Image Interpretation),Bing,Unknown,Looting/Illegal Activities,Looting/Unauthorised Removal of Objects,Definite,Loss/Removal of Archaeological Material,Definite,,,,,,,1430,Khovd,,,Funerary
M13-140,POINT (91.22087375 48.89473287),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-140,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,Khirigsuur,Circle Khirigsuur,High,,Circular,12,,,5,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,Bronze Age,1355,Khovd,,,Funerary
M13-141,POINT (91.2202783 48.89523632),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-141,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1348,Khovd,,,Funerary
M13-142,POINT (91.21953398 48.89500884),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-142,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1374,Khovd,,,Funerary
M13-143,POINT (91.2202897 48.89474874),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-143,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,4,,,,Archaeological Assessment (Image Interpretation),Google Earth,Unknown,,,,,,,,,,,,1364,Khovd,,,Funerary
M13-144,POINT (91.22006774 48.8956322),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-144,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1347,Khovd,,,Funerary
M13-145,POINT (91.2215671 48.89557489),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-145,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1329,Khovd,,,Funerary
M13-146,POINT (91.22251392 48.8941915),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-146,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1353,Khovd,,,Funerary
M13-147,POINT (91.22243882 48.89389789),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-147,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1360,Khovd,,,Funerary
M13-148,POINT (91.22331322 48.89386791),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-148,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1351,Khovd,,,Funerary
M13-149,POINT (91.22436099 48.89355964),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-149,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1346,Khovd,,,Funerary
M13-150,POINT (91.22403376 48.89322106),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-150,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1355,Khovd,,,Funerary
M13-151,POINT (91.22376957 48.89313112),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-151,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1364,Khovd,,,Funerary
M13-152,POINT (91.22528328 48.89217535),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-152,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1379,Khovd,,,Funerary
M13-153,POINT (91.22542678 48.89245486),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-153,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1363,Khovd,,,Funerary
M13-154,POINT (91.22560112 48.89254303),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-154,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1363,Khovd,,,Funerary
M13-155,POINT (91.22596188 48.89256419),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-155,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1359,Khovd,,,Funerary
M13-156,POINT (91.22587336 48.89279257),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-156,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1350,Khovd,,,Funerary
M13-157,POINT (91.22623949 48.89258536),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-157,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,4,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1353,Khovd,,,Funerary
M13-158,POINT (91.22741262 48.89303791),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-158,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Khirigsuur,Circle Khirigsuur,Medium,,Circular,9,,,5,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,"""maybe a sagsei-shaped KH, circular, two corner stones on the north side recognizable""",General Description,Bronze Age,1325,Khovd,,,Funerary
M13-159,POINT (91.22751756 48.89287236),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-159,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,Khirigsuur,Circle Khirigsuur,Medium,,Circular,8,,,5,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,"""maybe sagsei-shaped KH""",General Description,Bronze Age,1327,Khovd,,,Funerary
M13-160,POINT (91.22897735 48.89102377),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-160,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1340,Khovd,,,Funerary
M13-161,POINT (91.22975922 48.89063491),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-161,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1340,Khovd,,,Funerary
M13-162,POINT (91.22791574 48.89019829),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-162,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1405,Khovd,,,Funerary
M13-163,POINT (91.226694 48.89026178),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-163,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1415,Khovd,,,Funerary
M13-164,POINT (91.22627155 48.89038875),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-164,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1417,Khovd,,,Funerary
M13-165,POINT (91.22454253 48.88970228),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-165,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Khirigsuur,Circle Khirigsuur,Medium,,Circular,12,,,8,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,Bronze Age,1434,Khovd,,,Funerary
M13-166,POINT (91.22064863 48.89055188),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-166,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,,,,,,,1450,Khovd,,,Funerary
M13-167,POINT (91.22877841 48.88807844),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-167,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,"""maybe a KH""",General Description,,1350,Khovd,,,Funerary
M13-168,POINT (91.22836803 48.88815516),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-168,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,"""maybe a KH""",General Description,,1354,Khovd,,,Funerary
M13-169,POINT (91.23168994 48.88951049),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-169,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,,,,"""weak recognizable""",General Description,,1330,Khovd,,,Funerary
M13-170,POINT (91.23167117 48.88986056),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-170,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,,,,"""weak recognizable""",General Description,,1326,Khovd,,,Funerary
M13-171,POINT (91.23122056 48.89004309),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-171,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,,,,"""weak recognizable""",General Description,,1330,Khovd,,,Funerary
M13-172,POINT (91.23173286 48.89096014),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-172,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,4,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Infrastructure/Transport,Road/Track,High,"""weak recognizable, not sure, maybe Turkic burial""",General Description,,1321,Khovd,,,Funerary
M13-173,POINT (91.23177511 48.89104567),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-173,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,4,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Infrastructure/Transport,Road/Track,High,"""weak recognizable, not sure, maybe Turkic burial""",General Description,,1321,Khovd,,,Funerary
